chirp_index,echo_energy,noise_energy,echo_delay_ms
0,944801.6768518519,21.389,49.958333333333336
1,1280114.598148148,18.331,49.729166666666664
2,290745.64907407406,62.283,49.979166666666664
3,96015.82962962963,38.736,49.833333333333336
4,280494.87731481483,33.138,49.979166666666664
5,100046.3625,434.255,49.833333333333336
6,824528.3523148148,650.274,49.958333333333336
7,1903108.3398148147,151.468,48.6875
8,95155.7787037037,12.211,49.833333333333336
9,24615.609722222223,102.472,49.8125
10,22501.11435185185,21.336,49.8125
11,81434.0375,44.59,49.833333333333336
12,2444648.823611111,172.174,46.6875
13,19357.200925925925,43.258,49.875
14,2203855.9819444446,29.045,47.75
15,2611970.103240741,38.115,45.75
16,58191.16898148148,50.971,49.833333333333336
17,932039.1939814815,45.995,49.854166666666664
